created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-01-15T18:05:33+00:00,1,"
90

",0.00,,,,
2024-01-15T18:10:42+00:00,2,"83

",0.00,,,,
2024-01-15T18:15:44+00:00,3,"0.00

","
84",,,,
2024-01-15T18:20:56+00:00,4,"84

",0.00,,,,
2024-01-15T18:25:57+00:00,5,"
83

",0.00,,,,
2024-01-15T18:31:07+00:00,6,"83

",0.00,,,,
2024-01-15T18:36:08+00:00,7,"0.00

","
84",,,,
2024-01-15T19:23:06+00:00,8,"00

","
84",,,,
2024-01-15T19:38:23+00:00,9,"83

",0.00,,,,
2024-01-15T19:43:25+00:00,10,"83

",0.00,,,,
2024-01-15T19:48:27+00:00,11,"83

",0.00,,,,
2024-01-15T19:53:29+00:00,12,"83

",0.00,,,,
2024-01-15T19:58:30+00:00,13,"83

",0.00,,,,
2024-01-15T20:03:32+00:00,14,"83

",0.00,,,,
2024-01-15T20:08:34+00:00,15,"84

",0.00,,,,
2024-01-15T20:13:36+00:00,16,"83

",0.00,,,,
2024-01-15T20:18:37+00:00,17,"82

",0.00,,,,
2024-01-15T20:23:39+00:00,18,"82

",0.00,,,,
2024-01-15T20:28:41+00:00,19,"82

",0.00,,,,
2024-01-20T20:37:11+00:00,20,"55

",0.00,,,,
2024-01-20T20:42:13+00:00,21,"42

",-4.58,,,,
2024-01-20T20:47:15+00:00,22,"55

",-4.59,,,,
2024-01-20T20:52:16+00:00,23,"56

",-4.59,,,,
2024-01-20T20:57:18+00:00,24,"57

",-4.59,,,,
2024-01-20T21:02:20+00:00,25,"56

",-4.59,,,,
2024-01-20T21:07:22+00:00,26,"56

",-4.59,,,,
2024-01-20T21:12:24+00:00,27,"55

",-4.58,,,,
2024-01-28T20:21:05+00:00,28,"������

","",,,,
2024-01-28T20:21:25+00:00,29,"������99

",0.09,,,,
2024-01-28T20:26:27+00:00,30,"0

",0.08,,,,
2024-01-28T20:31:29+00:00,31,"0

",0.08,,,,
2024-01-28T20:36:30+00:00,32,"0

",0.08,,,,
2024-01-28T20:41:32+00:00,33,"0

",0.10,,,,
2024-01-28T20:46:34+00:00,34,"0

",0.00,,,,
2024-01-28T20:51:36+00:00,35,"0

",0.10,,,,
2024-01-28T20:56:38+00:00,36,"18

",0.10,,,,
2024-01-28T21:01:40+00:00,37,"24

",0.28,,,,
2024-01-28T21:06:42+00:00,38,"18

",0.10,,,,
2024-01-28T21:21:59+00:00,39,"12

",0.43,,,,
2024-01-28T22:14:58+00:00,40,"17

",0.10,,,,
2024-01-28T22:20:00+00:00,41,"17

",0.10,,,,
2024-02-27T15:54:15+00:00,42,"18

",0.09,,,,
2024-02-27T15:55:16+00:00,43,"18

",0.10,,,,
2024-02-27T15:56:30+00:00,44,"18

",0.10,,,,
2024-02-27T15:57:31+00:00,45,"18

",0.10,,,,
2024-02-27T15:58:32+00:00,46,"18

",0.10,,,,
2024-02-27T15:59:33+00:00,47,"18

",0.10,,,,
2024-02-27T16:00:20+00:00,48,"18

",0.09,,,,
2024-02-27T16:01:41+00:00,49,"18

",0.10,,,,
2024-02-27T16:02:48+00:00,50,"18

",0.09,,,,
2024-02-27T16:03:48+00:00,51,"13

",0.43,,,,
2024-02-27T16:05:09+00:00,52,"18

",0.11,,,,
2024-02-27T16:06:05+00:00,53,"18

",0.07,,,,
2024-02-27T16:07:01+00:00,54,"18

",0.03,,,,
2024-02-27T16:07:56+00:00,55,"18

",0.02,,,,
2024-02-27T16:08:57+00:00,56,"18

",0.02,,,,
2024-02-27T16:09:58+00:00,57,"18

",0.02,,,,
2024-02-27T16:10:48+00:00,58,"18

",0.02,,,,
2024-02-27T16:11:49+00:00,59,"18

",0.02,,,,
2024-02-27T16:12:50+00:00,60,"18

",0.02,,,,
2024-02-27T16:13:51+00:00,61,"18

",0.09,,,,
2024-02-27T16:14:51+00:00,62,"13

",0.09,,,,
2024-02-27T16:15:52+00:00,63,"18

",0.02,,,,
2024-02-27T16:16:59+00:00,64,"18

",0.01,,,,
2024-02-27T16:18:00+00:00,65,"18

",0.01,,,,
2024-02-27T16:18:32+00:00,66,"18

",0.01,,,,
2024-02-27T16:19:29+00:00,67,"18

",0.01,,,,
2024-02-27T16:20:30+00:00,68,"18

",0.01,,,,
2024-02-27T16:21:31+00:00,69,"18

",0.01,,,,
2024-02-27T16:22:32+00:00,70,"18

",0.01,,,,
2024-02-27T16:23:33+00:00,71,"18

",0.01,,,,
2024-02-27T16:24:34+00:00,72,"18

",0.01,,,,
2024-02-27T16:25:35+00:00,73,"18

",0.01,,,,
2024-02-27T16:26:35+00:00,74,"18

",0.01,,,,
2024-02-27T16:27:36+00:00,75,"18

",0.01,,,,
2024-02-27T16:28:37+00:00,76,"18

",0.01,,,,
2024-02-27T16:29:49+00:00,77,"18

",0.01,,,,
2024-02-27T16:32:52+00:00,78,"18

",0.01,,,,
2024-02-27T16:33:59+00:00,79,"18

",0.01,,,,
2024-02-27T16:34:59+00:00,80,"18

",0.01,,,,
2024-02-27T16:36:00+00:00,81,"18

",0.01,,,,
2024-02-27T16:37:01+00:00,82,"18

",0.01,,,,
2024-02-27T16:38:02+00:00,83,"18

",0.01,,,,
2024-02-27T16:39:02+00:00,84,"13

",0.04,,,,
2024-02-27T16:40:03+00:00,85,"18

",0.01,,,,
2024-02-27T16:41:21+00:00,86,"18

",0.00,,,,
2024-02-27T16:42:22+00:00,87,"12

",0.03,,,,
2024-02-27T16:43:22+00:00,88,"16

",0.00,,,,
2024-02-27T16:44:23+00:00,89,"16

",0.01,,,,
2024-02-27T16:45:24+00:00,90,"18

",0.00,,,,
2024-02-27T16:46:25+00:00,91,"18

",0.00,,,,
2024-02-27T16:47:26+00:00,92,"18

",0.00,,,,
2024-02-27T16:48:27+00:00,93,"18

",0.00,,,,
2024-02-27T16:49:27+00:00,94,"18

",0.00,,,,
2024-02-27T16:50:28+00:00,95,"46

",0.03,,,,
2024-02-27T16:51:29+00:00,96,"12

",0.03,,,,
2024-02-27T16:52:30+00:00,97,"12

",0.03,,,,
2024-02-27T16:53:16+00:00,98,"12

",0.04,,,,
2024-02-27T16:54:17+00:00,99,"12

",0.04,,,,
2024-02-27T16:55:18+00:00,100,"12

",0.04,,,,
2024-02-27T20:19:04+00:00,101,"18

",0.01,,,,
2024-02-27T20:21:42+00:00,102,"18

",0.01,,,,
2024-02-27T20:22:43+00:00,103,"18

",0.01,,,,
